nsize	lsize	n	add	get	del
96	512	2	8.701	2.930	5.780
96	512	3	80.682	39.610	71.402
96	512	4	994.431	556.231	880.299
96	512	5	13182.936	7393.094	12022.561
128	4	1	7.710	0.270	7.140
128	4	2	9.221	3.030	10.120
128	4	3	84.122	41.501	105.762
128	4	4	941.700	550.081	1183.755
128	4	5	10867.327	6688.949	13532.893
128	6	1	11.990	0.270	6.700
128	6	2	9.290	3.161	10.480
128	6	3	71.191	41.371	79.452
128	6	4	890.889	566.112	1030.401
128	6	5	10663.603	7213.250	12202.364
128	8	1	7.610	0.320	9.150
128	8	2	9.821	3.140	10.000
128	8	3	75.632	43.661	89.721
128	8	4	932.799	555.832	1224.155
128	8	5	10570.262	7269.711	13053.213
128	12	1	5.580	0.270	3.180
128	12	2	9.590	3.020	10.611
128	12	3	71.091	39.071	70.482
128	12	4	859.478	550.691	944.670
128	12	5	10415.308	7467.256	12111.572
128	16	1	5.970	0.260	3.180
128	16	2	9.800	3.300	11.020
128	16	3	61.951	41.191	69.781
128	16	4	763.047	535.381	865.928
128	16	5	10261.005	7234.361	11259.194
128	24	1	5.270	0.270	3.281
128	24	2	10.910	3.070	10.930
128	24	3	70.971	39.901	77.962
128	24	4	847.208	535.101	963.870
128	24	5	10611.071	7933.086	11977.369
128	32	1	5.660	0.290	3.110
128	32	2	10.511	3.260	10.200
128	32	3	66.111	41.601	75.042
128	32	4	801.207	540.211	944.720
128	32	5	10037.499	8176.681	11403.308
128	48	1	6.470	0.280	3.190
128	48	2	10.491	3.320	10.710
128	48	3	73.632	41.830	81.792
128	48	4	793.207	555.942	891.818
128	48	5	10650.612	8007.007	12431.410
128	64	1	5.930	0.280	3.160
128	64	2	10.760	3.090	11.370
128	64	3	72.082	40.011	70.831
128	64	4	854.708	546.692	919.699
128	64	5	10413.527	7973.126	11154.094
128	96	1	5.370	0.270	3.000
128	96	2	10.460	3.130	10.540
128	96	3	83.482	41.001	85.992
128	96	4	878.258	530.471	888.329
128	96	5	11980.110	8193.841	12870.830
128	128	1	5.780	0.240	3.630
128	128	2	7.820	6.840	7.320
128	128	3	77.552	40.951	71.591
128	128	4	894.528	533.251	902.429
128	128	5	11688.305	7805.903	11374.407
128	192	1	6.230	0.260	2.001
128	192	2	8.300	2.980	5.650
128	192	3	91.012	41.611	73.802
128	192	4	972.380	543.332	841.917
128	192	5	13303.059	8338.873	11754.455
128	256	1	6.370	0.250	1.890
128	256	2	8.380	2.960	5.531
128	256	3	82.911	40.211	70.332
128	256	4	1021.812	547.111	859.138
128	256	5	12180.835	7720.602	11161.014
128	384	1	9.070	0.240	1.910
128	384	2	8.701	2.910	5.820
128	384	3	84.402	40.731	75.341
128	384	4	927.670	553.761	830.338
128	384	5	13006.021	7819.823	11814.257
128	512	1	6.230	0.240	2.020
128	512	2	8.820	2.850	5.920
128	512	3	80.901	39.551	71.922
128	512	4	996.511	566.171	877.399
128	512	5	12887.118	7427.275	11821.357
192	4	1	8.180	0.270	8.291
192	4	2	9.760	3.110	9.330
192	4	3	85.302	42.221	97.562
192	4	4	992.211	569.292	1230.736
192	4	5	11180.054	6786.901	13531.522
192	6	1	9.230	0.300	6.290
192	6	2	9.770	3.240	8.731
192	6	3	72.621	43.811	80.682
192	6	4	856.518	592.793	1128.343
192	6	5	9772.425	7261.741	11743.846
192	8	1	9.390	0.300	5.350
192	8	2	10.441	3.180	8.740
192	8	3	79.082	40.371	89.011
192	8	4	985.300	583.142	1161.955
192	8	5	11388.669	7121.078	12987.962
192	12	1	6.070	0.280	3.220
192	12	2	9.840	2.980	9.520
192	12	3	69.611	39.491	71.302
192	12	4	831.757	550.661	1102.454
192	12	5	10485.788	7464.926	12193.885
192	16	1	6.140	0.300	2.990
192	16	2	10.000	3.210	9.780
192	16	3	63.881	39.741	69.501
192	16	4	785.516	557.861	904.409
192	16	5	10051.311	7711.171	11574.592
192	24	1	5.370	0.240	3.100
192	24	2	10.881	3.050	9.360
192	24	3	69.252	40.600	78.032
192	24	4	806.167	532.011	940.550
192	24	5	10554.440	7936.396	11964.319
192	32	1	5.170	0.260	2.850
192	32	2	11.551	3.130	9.140
192	32	3	70.282	40.350	75.682
192	32	4	833.638	537.581	909.439
192	32	5	10522.789	8217.173	11871.728
192	48	1	5.640	0.250	3.520
192	48	2	11.060	3.261	9.400
192	48	3	76.322	40.240	83.002
192	48	4	812.327	525.571	893.099
192	48	5	11204.774	7630.810	12574.143
192	64	1	5.741	0.250	3.320
192	64	2	11.740	3.210	9.220
192	64	3	71.131	38.971	69.471
192	64	4	847.067	542.131	924.060
192	64	5	10620.672	8128.311	11490.789
192	96	1	6.500	0.250	3.280
192	96	2	11.831	3.130	9.310
192	96	3	81.612	40.811	86.411
192	96	4	835.527	523.261	905.408
192	96	5	11744.436	8093.729	13109.114
192	128	1	8.840	0.240	3.290
192	128	2	8.860	2.850	7.120
192	128	3	81.862	41.071	76.361
192	128	4	908.329	531.281	941.229
192	128	5	11547.571	8154.541	11635.073
192	192	1	7.440	0.230	1.850
192	192	2	8.310	2.790	5.720
192	192	3	93.592	41.451	73.162
192	192	4	952.940	539.381	850.818
192	192	5	13462.701	8323.293	11979.711
192	256	1	6.381	0.240	1.790
192	256	2	8.500	2.750	5.820
192	256	3	82.362	39.001	72.182
192	256	4	959.420	543.611	869.508
192	256	5	12399.239	7724.131	11391.478
192	384	1	6.090	0.250	2.040
192	384	2	8.720	2.860	5.751
192	384	3	85.482	40.520	73.812
192	384	4	932.940	550.191	855.498
192	384	5	13226.757	7821.313	12106.723
192	512	1	6.571	0.280	2.090
192	512	2	9.480	2.880	5.740
192	512	3	81.522	39.701	71.091
192	512	4	997.721	596.392	896.299
192	512	5	12924.810	7577.218	12123.184
256	4	1	8.811	0.260	5.200
256	4	2	9.880	3.060	9.250
256	4	3	86.431	41.491	97.982
256	4	4	950.559	559.792	1173.444
256	4	5	10636.582	6551.356	13091.844
256	6	1	8.180	0.270	5.570
256	6	2	10.220	3.100	8.611
256	6	3	66.351	38.561	74.051
256	6	4	849.627	566.372	1012.051
256	6	5	9712.174	6887.403	11890.549
256	8	1	8.701	0.290	5.240
256	8	2	10.470	3.150	9.080
256	8	3	75.051	41.271	86.222
256	8	4	933.010	553.351	1135.484
256	8	5	11081.052	6931.025	12990.001
256	12	1	6.171	0.300	3.240
256	12	2	10.670	3.120	9.480
256	12	3	68.501	40.461	71.181
256	12	4	817.557	577.222	947.910
256	12	5	10641.003	7511.336	12068.362
256	16	1	5.320	0.240	3.090
256	16	2	10.710	3.071	9.670
256	16	3	63.851	38.631	67.921
256	16	4	757.225	525.021	861.088
256	16	5	10160.133	7340.803	11300.705
256	24	1	6.260	3.200	3.220
256	24	2	11.321	3.120	9.270
256	24	3	73.042	39.830	75.292
256	24	4	831.528	548.561	917.089
256	24	5	10853.287	7944.065	11824.838
256	32	1	6.230	0.280	3.110
256	32	2	10.640	3.160	9.501
256	32	3	67.751	42.661	74.042
256	32	4	787.606	531.201	933.980
256	32	5	10146.202	7918.635	11436.448
256	48	1	9.630	0.250	3.060
256	48	2	11.070	3.250	9.221
256	48	3	80.211	40.451	81.592
256	48	4	767.656	504.711	878.148
256	48	5	10725.484	7721.381	12244.655
256	64	1	5.830	0.240	3.160
256	64	2	10.710	3.230	9.321
256	64	3	72.591	40.791	68.922
256	64	4	859.018	520.760	893.739
256	64	5	10357.656	7740.112	11146.402
256	96	1	5.900	0.240	3.120
256	96	2	10.740	3.170	9.071
256	96	3	82.382	44.530	86.122
256	96	4	859.248	532.931	905.259
256	96	5	11931.328	8035.878	12903.699
256	128	1	5.730	0.250	3.230
256	128	2	8.231	2.910	7.340
256	128	3	77.772	40.981	78.671
256	128	4	868.089	534.291	921.959
256	128	5	11006.090	7678.921	11308.405
256	192	1	6.060	0.260	1.790
256	192	2	8.270	2.890	5.791
256	192	3	92.172	41.921	74.651
256	192	4	926.570	532.981	836.897
256	192	5	13030.853	7974.986	11818.197
256	256	1	5.950	0.250	1.830
256	256	2	8.261	3.000	5.710
256	256	3	80.212	40.430	70.822
256	256	4	950.150	548.031	858.218
256	256	5	11952.560	7657.959	11011.320
256	384	1	5.910	0.240	1.980
256	384	2	8.480	2.950	5.890
256	384	3	83.682	40.051	74.331
256	384	4	920.370	552.401	849.988
256	384	5	12625.094	7828.074	11851.607
256	512	1	6.160	0.230	1.900
256	512	2	8.671	2.830	5.900
256	512	3	80.432	40.720	72.232
256	512	4	983.711	553.271	886.919
256	512	5	12502.792	7171.549	11767.565
384	4	1	9.340	0.290	5.650
384	4	2	10.481	3.270	9.110
384	4	3	78.802	41.101	94.802
384	4	4	960.290	616.113	1171.384
384	4	5	10917.408	7070.387	13371.100
384	6	1	9.851	0.290	5.520
384	6	2	10.090	3.140	8.660
384	6	3	68.701	40.751	71.941
384	6	4	884.199	567.532	1010.561
384	6	5	10768.065	7317.712	11723.336
384	8	1	10.280	0.320	5.500
384	8	2	10.150	3.011	8.800
384	8	3	76.702	39.030	84.582
384	8	4	929.970	542.901	1131.203
384	8	5	10782.185	7251.822	13205.136
384	12	1	5.970	0.250	3.300
384	12	2	10.881	2.980	10.280
384	12	3	66.591	39.561	72.802
384	12	4	825.687	540.481	959.760
384	12	5	10453.418	7556.838	12468.030
384	16	1	5.520	0.270	3.090
384	16	2	11.510	3.041	9.550
384	16	3	64.691	38.301	69.942
384	16	4	792.616	522.691	865.018
384	16	5	10527.439	7799.193	11188.004
384	24	1	9.240	0.230	3.560
384	24	2	10.950	2.860	9.601
384	24	3	73.081	39.621	78.722
384	24	4	802.017	532.431	936.520
384	24	5	10554.381	7858.014	12047.332
384	32	1	5.871	0.280	3.220
384	32	2	11.430	3.320	9.460
384	32	3	69.421	40.771	75.661
384	32	4	768.116	542.241	888.989
384	32	5	10011.079	8308.613	11388.897
384	48	1	5.450	0.270	3.390
384	48	2	12.690	3.181	9.670
384	48	3	74.832	41.250	82.432
384	48	4	782.597	516.390	872.619
384	48	5	10550.021	7989.606	12171.404
384	64	1	6.511	0.290	3.220
384	64	2	11.290	3.110	12.200
384	64	3	72.481	40.551	72.831
384	64	4	847.998	552.871	914.079
384	64	5	10375.707	8266.792	11199.674
384	96	1	5.890	0.290	3.200
384	96	2	12.260	3.170	9.431
384	96	3	83.512	41.110	87.402
384	96	4	863.349	531.361	911.289
384	96	5	11829.367	8130.709	12691.506
384	128	1	5.650	0.270	3.160
384	128	2	8.460	2.931	7.260
384	128	3	81.572	40.980	75.942
384	128	4	953.180	541.162	933.109
384	128	5	11470.949	7914.226	11329.787
384	192	1	5.440	0.260	1.920
384	192	2	8.880	3.021	5.960
384	192	3	92.342	42.381	75.661
384	192	4	989.101	549.801	843.258
384	192	5	13246.877	8021.188	11655.113
384	256	1	5.550	0.270	1.870
384	256	2	8.040	2.951	5.680
384	256	3	83.342	39.970	70.192
384	256	4	966.340	560.012	935.120
384	256	5	12177.645	7901.014	11017.511
384	384	1	5.520	0.250	1.960
384	384	2	8.760	2.890	5.720
384	384	3	86.922	40.111	74.772
384	384	4	935.129	546.571	851.808
384	384	5	12928.520	7770.002	11735.546
384	512	1	6.220	0.250	1.920
384	512	2	8.731	2.830	5.930
384	512	3	81.592	40.681	70.101
384	512	4	1001.901	563.782	881.718
384	512	5	12769.678	7142.429	11800.986
512	4	1	10.220	0.260	5.481
512	4	2	10.930	3.060	9.210
512	4	3	82.952	40.651	95.582
512	4	4	985.881	579.982	1189.855
512	4	5	11299.087	6712.369	12981.432
512	6	1	8.801	0.250	5.400
512	6	2	10.910	3.110	9.820
512	6	3	67.551	38.871	75.571
512	6	4	868.168	550.271	1102.663
512	6	5	10131.271	7131.409	11818.308
512	8	1	8.721	0.280	5.270
512	8	2	10.790	3.080	8.780
512	8	3	73.431	40.941	85.052
512	8	4	914.159	548.532	1109.303
512	8	5	10651.692	7379.334	12900.270
512	12	1	6.451	0.250	3.200
512	12	2	10.950	3.040	9.560
512	12	3	70.421	38.801	75.022
512	12	4	820.197	531.421	951.320
512	12	5	10713.573	7469.486	12051.481
512	16	1	6.660	0.270	3.310
512	16	2	11.291	2.970	9.770
512	16	3	64.592	38.070	68.872
512	16	4	763.686	520.451	889.188
512	16	5	10252.273	7385.724	11265.686
512	24	1	5.840	0.260	3.271
512	24	2	10.510	3.030	9.700
512	24	3	72.672	41.421	77.802
512	24	4	809.227	554.881	910.959
512	24	5	10638.513	8061.918	11845.418
512	32	1	5.990	0.250	3.390
512	32	2	11.571	3.150	9.560
512	32	3	67.382	40.770	73.932
512	32	4	745.986	519.041	862.468
512	32	5	9975.549	7948.186	11274.716
512	48	1	5.970	0.250	3.570
512	48	2	11.691	3.170	9.930
512	48	3	73.612	43.751	79.461
512	48	4	816.056	561.982	871.658
512	48	5	10580.610	7795.713	12151.354
512	64	1	6.010	0.240	3.260
512	64	2	11.441	3.290	10.310
512	64	3	72.912	40.010	69.782
512	64	4	816.077	521.331	904.339
512	64	5	10111.852	7752.671	10965.979
512	96	1	5.630	0.240	3.230
512	96	2	11.460	3.210	9.560
512	96	3	85.532	42.201	86.502
512	96	4	870.528	537.751	894.849
512	96	5	11565.882	7946.866	12691.115
512	128	1	5.650	0.240	3.590
512	128	2	8.150	2.780	7.490
512	128	3	80.692	41.351	74.781
512	128	4	883.239	528.621	918.549
512	128	5	11123.973	7560.838	11059.261
512	192	1	5.720	0.240	1.820
512	192	2	8.300	2.840	5.750
512	192	3	94.032	41.350	74.152
512	192	4	939.350	621.263	831.467
512	192	5	12833.249	7897.785	11565.571
512	256	1	6.520	0.240	1.840
512	256	2	8.511	2.900	5.690
512	256	3	83.452	39.871	68.411
512	256	4	974.770	550.032	849.558
512	256	5	11838.458	7441.845	10728.975
512	384	1	5.790	0.270	1.910
512	384	2	8.970	2.950	5.911
512	384	3	86.632	39.670	72.592
512	384	4	936.990	544.881	829.577
512	384	5	12844.647	7563.999	11551.092
512	512	1	5.750	0.220	1.891
512	512	2	8.670	2.830	5.930
512	512	3	82.002	39.321	70.381
512	512	4	1000.250	562.202	885.788
512	512	5	12565.473	7258.181	11756.815
1136351126415
